,level3,NUTRIENT_TEXT,LEVEL
2587,Seasonings,Potassium (K),4553.0327868852455
496,Cocoa ingredients,Potassium (K),3568.4545454545455
560,Coffee ingredients,Potassium (K),3043.6785714285716
3016,Tea leaves and tea ingredients,Potassium (K),2382.9142857142856
2856,Spices roots or rhizome,Potassium (K),1762.3684210526317
2841,Spices flower stigma,Potassium (K),1720.0
718,Dehydrated/powdered vegetable juices,Potassium (K),1532.0
2763,Spice fruits and berries,Potassium (K),1386.780487804878
1507,Legume based ingredients,Potassium (K),1288.5714285714287
2779,Spice seeds,Potassium (K),1202.0
544,Coffee imitate ingredients,Potassium (K),1120.8333333333333
2430,RPCs of microbiological origin,Potassium (K),1015.7142857142857
1697,Meat imitates,Potassium (K),1002.1538461538462
1776,Milk and dairy powders,Potassium (K),970.0
1400,Herbs and vegetables for infusions,Potassium (K),930.0
1902,Molasses and other syrups,Potassium (K),853.8307692307692
2826,Spices buds,Potassium (K),799.2631578947369
2366,Processed root and tuber products,Potassium (K),754.6380952380953
733,Derivatives of mushrooms,Potassium (K),725.3469387755102
908,Extracts,Potassium (K),712.8213114754097
