,level3,NUTRIENT_TEXT,LEVEL
2174,Other sweetening ingredients,Potassium (K),0.0
796,Dietary foods for special medical purposes,Potassium (K),0.0
3096,Unbottled water,Potassium (K),0.1111111111111111
2126,Other plant oils,Potassium (K),0.6842105263157895
2014,Olive oils,Potassium (K),1.0
3176,"Vegetable fats and oils, edible",Potassium (K),1.0
2077,Other food additives,Potassium (K),1.4242424242424243
2952,Sugars,Potassium (K),2.033333333333333
2603,Seed oils,Potassium (K),3.303030303030303
3144,Unsweetened spirits,Potassium (K),5.73103448275862
781,Diet soft drinks,Potassium (K),6.592307692307693
1385,Herbal and other non-tea infusions,Potassium (K),9.357142857142858
1227,Functional drinks,Potassium (K),11.168421052631578
2683,Soft drinks,Potassium (K),13.622302158273381
3000,Tea beverages,Potassium (K),21.586363636363636
940,Fats and oils from terrestrial animals,Potassium (K),21.857142857142858
1571,Liqueurs,Potassium (K),21.92142857142857
1475,Ingredients from starchy roots and tubers,Potassium (K),22.285714285714285
924,Fats and oils from marine animals,Potassium (K),23.555555555555557
2888,Spreadable vegetable fat,Potassium (K),24.18207547169811
