,level3,NUTRIENT_TEXT,LEVEL
494,Cocoa ingredients,Magnesium (Mg),516.8857142857142
558,Coffee ingredients,Magnesium (Mg),304.625
1996,Oilseeds,Magnesium (Mg),301.2019230769231
2777,Spice seeds,Magnesium (Mg),264.5833333333333
3030,Terrestrial invertebrates,Magnesium (Mg),250.0
3014,Tea leaves and tea ingredients,Magnesium (Mg),246.54285714285714
1398,Herbs and vegetables for infusions,Magnesium (Mg),232.0
2839,Spices flower stigma,Magnesium (Mg),200.0
1505,Legume based ingredients,Magnesium (Mg),188.07692307692307
2585,Seasonings,Magnesium (Mg),186.52105263157895
2824,Spices buds,Magnesium (Mg),185.33333333333334
1695,Meat imitates,Magnesium (Mg),174.35714285714286
1335,Ground nuts,Magnesium (Mg),170.92857142857142
3062,Tree nuts,Magnesium (Mg),167.9390243902439
2793,Spices aril,Magnesium (Mg),162.14285714285714
2761,Spice fruits and berries,Magnesium (Mg),158.54634146341462
2854,Spices roots or rhizome,Magnesium (Mg),143.68421052631578
1900,Molasses and other syrups,Magnesium (Mg),125.8
2428,RPCs of microbiological origin,Magnesium (Mg),118.28571428571429
383,Cereal and cereal-like secondary milling products,Magnesium (Mg),110.8320987654321
