,level3,NUTRIENT_TEXT,LEVEL
3174,"Vegetable fats and oils, edible",Magnesium (Mg),0.0
794,Dietary foods for special medical purposes,Magnesium (Mg),0.0
2172,Other sweetening ingredients,Magnesium (Mg),0.0
922,Fats and oils from marine animals,Magnesium (Mg),0.047058823529411764
2601,Seed oils,Magnesium (Mg),0.1559322033898305
2124,Other plant oils,Magnesium (Mg),0.2962962962962963
2075,Other food additives,Magnesium (Mg),0.7777777777777778
2950,Sugars,Magnesium (Mg),0.7999999999999999
1383,Herbal and other non-tea infusions,Magnesium (Mg),0.9357142857142857
3142,Unsweetened spirits,Magnesium (Mg),1.0104761904761905
3094,Unbottled water,Magnesium (Mg),1.1620000000000001
2681,Soft drinks,Magnesium (Mg),1.5770700636942676
2012,Olive oils,Magnesium (Mg),1.865
779,Diet soft drinks,Magnesium (Mg),1.875
2491,Red algae,Magnesium (Mg),2.0
938,Fats and oils from terrestrial animals,Magnesium (Mg),2.0140350877192983
2998,Tea beverages,Magnesium (Mg),2.2490909090909095
1413,Honey,Magnesium (Mg),2.595714285714286
1225,Functional drinks,Magnesium (Mg),2.7214285714285715
1569,Liqueurs,Magnesium (Mg),2.7357142857142853
