level3,Alpha-tocopherol,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
Additional bread and bread products,2.0949999999999998,108.02325581395348,0.21951162790697668,34.69767441860465,136.73809523809524,189.04651162790697,3.1512121212121214,2.4911794871794877,0.9979767441860464,4.848255813953486,0.15627906976744177,0.21397435897435896,0.06473684210526316,0.1736046511627907,2.1808387096774196,1.5793548387096774
Amphibians and reptiles,0.8,18.142857142857142,0.0,23.0,167.21428571428572,310.0,14.099999999999996,1.8214285714285714,2.0,2.55,0.23642857142857143,0.14142857142857146,0.0,1.1999999999999997,0.7999999999999999,0.0
Aromatic flowers,1.0,180.0,0.14,34.0,64.0,276.0,0.0,3.14,0.19999999999999998,1.083,0.16999999999999998,0.08499999999999999,0.0,0.13,1.0,250.0
Aromatic herbs,1.7852380952380957,242.61490683229817,0.20052830188679238,62.457861635220134,68.00434782608694,601.7712418300654,3.5832786885245906,4.482613333333333,1.1404935064935071,2.46693788819876,0.20462732919254667,0.11859627329192539,0.0,0.2037891156462585,1.3625252525252527,126.27018181818181
Baking aids,0.0,518.421052631579,0.0003333333333333333,23.0,2817.1428571428573,123.0,0.0,0.295,0.9333333333333333,1.4669047619047615,0.0002631578947368421,0.0002631578947368421,0.0,0.0002631578947368421,0.0003333333333333333,0.0
Beer,0.0,4.801818181818183,0.033541666666666685,8.96078431372549,19.541818181818186,39.27272727272727,0.3455555555555556,0.046512820512820484,0.03419148936170214,0.8839999999999998,0.030907407407407425,0.0028088235294117655,0.057447368421052664,0.04064814814814816,0.0,0.0
Beer-like beverages,0.0033333333333333335,7.4523809523809526,0.03157894736842107,6.247619047619047,16.8,28.076190476190476,1.2,0.126578947368421,0.024210526315789484,0.6946666666666662,0.02021052631578948,0.002842105263157896,0.05473684210526316,0.03123809523809525,0.0027272727272727275,0.0
Berries and small fruit,1.35575,39.12714285714286,0.1855808823529411,20.28695652173913,38.33357142857143,196.96428571428572,0.2700000000000002,0.8392499999999995,0.2617681159420292,0.7402142857142849,0.050621428571428574,0.0402846715328467,0.0,0.0703714285714285,1.2043939393939394,10.813953488372093
Bird offal (e),0.529,14.910000000000005,1.9884017857142884,15.642016806722696,238.73949579831933,211.68067226890756,60.32857142857142,12.139672268907558,3.179499999999994,13.44669642857146,1.6495546218487416,0.3214537815126051,28.28187500000001,0.6806339285714288,0.5600666666666667,59.76923076923077
Biscuits (sweet and semi-sweet),7.44876923076923,123.26842105263158,0.21744210526315796,58.024561403508784,159.30689655172412,218.26666666666668,4.835087719298246,2.4917413793103442,1.1561206896551723,5.649224137931037,0.2266874999999999,0.10613953488372098,0.11000000000000001,0.9121379310344829,7.685325581395348,7.5487179487179485
Bivalve molluscs,0.9073043478260867,59.50572916666667,0.4582655367231633,40.29371727748692,191.18229166666666,240.55729166666666,42.36292134831458,6.456273255813956,6.685843749999997,4.320427083333325,0.1964114583333332,0.11007027027027035,13.590677083333354,0.0913064516129032,0.9781760000000007,0.0
Blended fat and oils,5.7071428571428555,31.176923076923075,0.016645360824742272,5.624423076923078,38.62336448598131,45.87378640776699,0.6832173913043479,0.10835922330097084,0.16277669902912625,0.3112999999999998,0.014540816326530613,0.012988888888888899,0.1687999999999999,0.013147727272727273,4.398493150684937,25.917590361445782
Bottled water,0.2688,7.522499999999999,0.02925806451612904,3.4931578947368425,4.605857142857142,35.58,0.06490476190476191,0.14970967741935484,0.040413793103448274,0.16169999999999995,0.00525714285714286,0.0046000000000000025,0.0,0.017742857142857154,0.2016,2.8
"Breakfast cereals, plain",0.5575,35.44642857142857,0.35607142857142865,105.17857142857143,310.2142857142857,352.98214285714283,2.935714285714286,4.069696428571427,2.5906607142857148,4.988374999999998,0.10783928571428572,0.3634464285714284,0.0,0.2806607142857143,0.6229999999999998,0.5727272727272728
Brined cheese (feta-type and similar),0.6933333333333334,444.51612903225805,0.06688000000000004,18.774193548387096,285.51612903225805,132.83870967741936,8.24516129032258,0.26000000000000006,1.8232142857142855,4.893709677419353,0.31935483870967735,0.040333333333333346,0.9341935483870966,0.13773333333333332,0.40125000000000005,0.14285714285714285
Brown algae,0.672,124.66666666666667,0.09533333333333337,88.0,30.666666666666668,63.0,0.0,2.0146666666666677,0.896666666666667,0.6999999999999996,0.09933333333333337,0.028000000000000008,0.0,0.05533333333333333,0.6720000000000003,0.0
Bulb vegetables,0.8397692307692307,43.13344155844153,0.07528799999999992,12.273552631578948,53.46688311688314,254.71948051948053,0.8097478991596632,0.6907987012987002,0.4311168831168832,1.0445389610389615,0.036070063694267504,0.07664935064935054,0.0021126760563380284,0.1982662337662337,0.40791228070175434,0.8832673267326734
Buttermilk and whey,0.07693750000000002,106.26785714285714,0.005380000000000003,10.096428571428572,87.69642857142857,141.5,1.0985714285714285,0.07200000000000004,0.3178928571428572,0.4353750000000001,0.15423636363636378,0.033125000000000016,0.20964285714285727,0.04178571428571427,0.01694285714285714,0.16666666666666666
Cakes,1.3832307692307695,58.173972602739724,0.1585183098591549,19.17534246575342,118.30958904109589,157.67083333333332,3.8983098591549292,1.208287671232877,0.640890410958904,1.757684931506849,0.13382191780821925,0.06706849315068489,0.47000000000000014,0.05657534246575342,1.9520500000000003,3.4728571428571433
Canned or jarred legumes,0.30816666666666664,45.978571428571435,0.14928571428571427,50.088888888888896,139.575,200.13636363636363,3.8364285714285704,1.974357142857143,1.1820357142857145,2.8950357142857146,0.07714285714285717,0.15942857142857145,0.0,0.12292857142857141,0.43021052631578943,60.48266666666667
